"Strain","Gene"
"Klebsiella_pneumoniae_strain2","aph(3')-Ia"
"Klebsiella_pneumoniae_strain2","aph(6)-Id"
"Klebsiella_pneumoniae_strain2","arsA"
"Klebsiella_pneumoniae_strain2","arsB"
"Klebsiella_pneumoniae_strain2","arsC"
"Klebsiella_pneumoniae_strain2","arsD"
"Klebsiella_pneumoniae_strain2","arsR"
"Klebsiella_pneumoniae_strain2","asr"
"Klebsiella_pneumoniae_strain2","blaCTX-M-15"
"Klebsiella_pneumoniae_strain2","blaOXA-1"
"Klebsiella_pneumoniae_strain2","blaOXA-48"
"Klebsiella_pneumoniae_strain2","blaSHV-11"
"Klebsiella_pneumoniae_strain2","blaTEM-1"
"Klebsiella_pneumoniae_strain2","clpK"
"Klebsiella_pneumoniae_strain2","emrD"
"Klebsiella_pneumoniae_strain2","fieF"
"Klebsiella_pneumoniae_strain2","fosA"
"Klebsiella_pneumoniae_strain2","hsp20"
"Klebsiella_pneumoniae_strain2","mcr-8.1"
"Klebsiella_pneumoniae_strain2","merA"
"Klebsiella_pneumoniae_strain2","merC"
"Klebsiella_pneumoniae_strain2","merD"
"Klebsiella_pneumoniae_strain2","merE"
"Klebsiella_pneumoniae_strain2","merP"
"Klebsiella_pneumoniae_strain2","merR"
"Klebsiella_pneumoniae_strain2","merT"
"Klebsiella_pneumoniae_strain2","oqxA"
"Klebsiella_pneumoniae_strain2","oqxB25"
"Klebsiella_pneumoniae_strain2","pcoA"
"Klebsiella_pneumoniae_strain2","pcoB"
"Klebsiella_pneumoniae_strain2","pcoC"
"Klebsiella_pneumoniae_strain2","pcoD"
"Klebsiella_pneumoniae_strain2","pcoE"
"Klebsiella_pneumoniae_strain2","pcoR"
"Klebsiella_pneumoniae_strain2","pcoS"
"Klebsiella_pneumoniae_strain2","silA"
"Klebsiella_pneumoniae_strain2","silB"
"Klebsiella_pneumoniae_strain2","silC"
"Klebsiella_pneumoniae_strain2","silE"
"Klebsiella_pneumoniae_strain2","silF"
"Klebsiella_pneumoniae_strain2","silP"
"Klebsiella_pneumoniae_strain2","silR"
"Klebsiella_pneumoniae_strain2","silS"
"Klebsiella_pneumoniae_strain2","sul2"
"Klebsiella_pneumoniae_strain2","ybtP"
"Klebsiella_pneumoniae_strain2","ybtQ"
"Pseudomonas_aeruginosa_strain1","aph(3')-IIb"
"Pseudomonas_aeruginosa_strain1","blaOXA-50"
"Pseudomonas_aeruginosa_strain1","blaPDC-1"
"Pseudomonas_aeruginosa_strain1","catB7"
"Pseudomonas_aeruginosa_strain1","fosA"
"Pseudomonas_aeruginosa_strain1","mexA"
"Pseudomonas_aeruginosa_strain1","mexE"
"Pseudomonas_aeruginosa_strain1","mexX"
"Pseudomonas_aeruginosa_strain2","aph(3')-IIb"
"Pseudomonas_aeruginosa_strain2","blaOXA-488"
"Pseudomonas_aeruginosa_strain2","blaPDC-34"
"Pseudomonas_aeruginosa_strain2","catB7"
"Pseudomonas_aeruginosa_strain2","fosA"
"Pseudomonas_aeruginosa_strain2","merA"
"Pseudomonas_aeruginosa_strain2","merD"
"Pseudomonas_aeruginosa_strain2","merE"
"Pseudomonas_aeruginosa_strain2","merP"
"Pseudomonas_aeruginosa_strain2","merR"
"Pseudomonas_aeruginosa_strain2","merT"
"Pseudomonas_aeruginosa_strain2","mexA"
"Pseudomonas_aeruginosa_strain2","mexE"
"Pseudomonas_aeruginosa_strain2","mexX"
"Pseudomonas_aeruginosa_strain2","pmrB_V15I"
"Staphylococcus_aureus_subsp_aureus_strain1","arsB"
"Staphylococcus_aureus_subsp_aureus_strain1","aur"
"Staphylococcus_aureus_subsp_aureus_strain1","cna"
"Staphylococcus_aureus_subsp_aureus_strain1","hld"
"Staphylococcus_aureus_subsp_aureus_strain1","hlgA"
"Staphylococcus_aureus_subsp_aureus_strain1","hlgB"
"Staphylococcus_aureus_subsp_aureus_strain1","hlgC"
"Staphylococcus_aureus_subsp_aureus_strain1","icaC"
"Staphylococcus_aureus_subsp_aureus_strain1","lmrS"
"Staphylococcus_aureus_subsp_aureus_strain1","lukD"
"Staphylococcus_aureus_subsp_aureus_strain1","lukE"
"Staphylococcus_aureus_subsp_aureus_strain1","lukF-PV"
"Staphylococcus_aureus_subsp_aureus_strain1","lukS-PV"
"Staphylococcus_aureus_subsp_aureus_strain1","mecA"
"Staphylococcus_aureus_subsp_aureus_strain1","mecR1"
"Staphylococcus_aureus_subsp_aureus_strain1","mepA"
"Staphylococcus_aureus_subsp_aureus_strain1","sak"
"Staphylococcus_aureus_subsp_aureus_strain1","scn"
"Staphylococcus_aureus_subsp_aureus_strain1","sea"
"Staphylococcus_aureus_subsp_aureus_strain1","sec2"
"Staphylococcus_aureus_subsp_aureus_strain1","seh"
"Staphylococcus_aureus_subsp_aureus_strain1","sek"
"Staphylococcus_aureus_subsp_aureus_strain1","sel"
"Staphylococcus_aureus_subsp_aureus_strain1","seq"
"Staphylococcus_aureus_subsp_aureus_strain1","splA"
"Staphylococcus_aureus_subsp_aureus_strain1","splB"
"Staphylococcus_aureus_subsp_aureus_strain1","tet(38)"
"Staphylococcus_aureus_subsp_aureus_strain2","arsB"
"Staphylococcus_aureus_subsp_aureus_strain2","aur"
"Staphylococcus_aureus_subsp_aureus_strain2","blaI"
"Staphylococcus_aureus_subsp_aureus_strain2","blaR1"
"Staphylococcus_aureus_subsp_aureus_strain2","blaZ"
"Staphylococcus_aureus_subsp_aureus_strain2","cadD"
"Staphylococcus_aureus_subsp_aureus_strain2","erm(C)"
"Staphylococcus_aureus_subsp_aureus_strain2","hld"
"Staphylococcus_aureus_subsp_aureus_strain2","hlgA"
"Staphylococcus_aureus_subsp_aureus_strain2","hlgB"
"Staphylococcus_aureus_subsp_aureus_strain2","hlgC"
"Staphylococcus_aureus_subsp_aureus_strain2","icaC"
"Staphylococcus_aureus_subsp_aureus_strain2","lmrS"
"Staphylococcus_aureus_subsp_aureus_strain2","lukD"
"Staphylococcus_aureus_subsp_aureus_strain2","lukE"
"Staphylococcus_aureus_subsp_aureus_strain2","mepA"
"Staphylococcus_aureus_subsp_aureus_strain2","sak"
"Staphylococcus_aureus_subsp_aureus_strain2","scn"
"Staphylococcus_aureus_subsp_aureus_strain2","selX"
"Staphylococcus_aureus_subsp_aureus_strain2","sep"
"Staphylococcus_aureus_subsp_aureus_strain2","splA"
"Staphylococcus_aureus_subsp_aureus_strain2","splB"
"Staphylococcus_aureus_subsp_aureus_strain2","splE"
"Staphylococcus_aureus_subsp_aureus_strain2","tet(38)"
